,text,timestamp_ms
0,rt enjoymennt virginity discussing females virginity yesterday someone like way know girl a…,2019-01-30 07:29:00.000
1,rt ronjeffries tempting especially early days drop scrum element seems difficult course free t…,2019-01-30 07:29:00.000
2,angem63326525 ricebb_ 're still earning money bap lmao,2019-01-30 07:29:00.000
3,rt jade_janaeee keep saying ’ “ possible ” hate crime literally shouted slurs attacked wild,2019-01-30 07:29:01.000
4,rt subli2mea aldubftnqt aldubhashtagsq aminaticsofc fthotladies ls_maiden0712 jophie30 yodabuda autumnharmony89 djgraphicsarts …,2019-01-30 07:29:01.000
5,bbcnewcastle alfie amp anna persuade vera come traffic travel today great show always,2019-01-30 07:29:01.000
6,rt stev_96r tongue,2019-01-30 07:29:01.000
7,'the bottom line 're going sticking cock cunt ejaculating inside however…,2019-01-30 07:29:01.000
8,across boundary line today tomorrow,2019-01-30 07:29:01.000
9,rt kiiiaraaa_ dont rush anything knows better,2019-01-30 07:29:02.000
10,plz tell 're vlive relay stuff,2019-01-30 07:29:02.000
11,rt artofliving really really really really really really really really really really really really really really r…,2019-01-30 07:29:02.000
12,rt alyssammendez fuck every single person thinks drunk driving funny cool ’ pro na fuck,2019-01-30 07:29:02.000
13,j_amesp 10 year old told ’ guy tube ‘ tips sprinkles onto cake ’ 10 million fo…,2019-01-30 07:29:02.000
14,rt kierrabingham dear lord breathofthewild nintendoswitch,2019-01-30 07:29:02.000
15,rt alyssammendez fuck every single person thinks drunk driving funny cool ’ pro na fuck,2019-01-30 07:29:02.000
16,huwacottoncandy あぅ ｡ gt ﹏ lt ｡ ⁄ ⁄ ⁄ gt ⁄□⁄ lt ⁄ ⁄ ⁄ dmでねっ,2019-01-30 07:29:03.000
17,rt rosyclouds_94 everyday becomes meaningful happiness 하성운 hasun…,2019-01-30 07:29:03.000
18,rosauragerissen face saw ssj cabba showcase legends,2019-01-30 07:29:03.000
19,fuckagust drop canon namjin link pls people need,2019-01-30 07:29:03.000
20,rt verge turn facetime iphone ipad mac,2019-01-30 07:29:03.000
21,sit — prefer chairs,2019-01-30 07:29:03.000
22,cynicallllllll yus name 's literally bengali,2019-01-30 07:29:03.000
23,rt safmradio gwalabnews chats nkosana makate mypleasec safmtalkingpoint deadline looms vodacom pay sabcnews…,2019-01-30 07:29:03.000
24,rt alfuckuhard thanks edit option instagram,2019-01-30 07:29:03.000
25,amyeve ringerinnyc druck_stop johnanzo steveschale part c ... ...,2019-01-30 07:29:03.000
26,humans scuffed,2019-01-30 07:29:03.000
27,rt dermotsnooker ’ watching bullseyetvshow realize ’ 32 years since steffi graf contested first wimbledon fin…,2019-01-30 07:29:03.000
28,rt ricwilson fractured ribs amp put rope around neck poured bleach left yelled `` maga count…,2019-01-30 07:29:03.000
29,fighting yemen left 22 million people approximately 75 population need ass…,2019-01-30 07:29:03.000
30,rt a_feifacts,2019-01-30 07:29:04.000
31,doll one major advantage 'll never look old anti-wrinkle cream needed,2019-01-30 07:29:04.000
32,creole_sniper sickening ass,2019-01-30 07:29:04.000
33,rt courtdezy found youtube doggy makeovers ... 'm crying pls watch,2019-01-30 07:29:05.000
34,rt itssdarwinn wandering 2019 putting w negativity,2019-01-30 07:29:05.000
35,trackerjackerrr found chicken made actual chicken,2019-01-30 07:29:05.000
36,added video youtube playlist jayaho republic day theme short film patriotism indian people,2019-01-30 07:29:05.000
37,fuckagust drop canon namjin link pls people need,2019-01-30 07:29:03.000
38,rt arsouldef youngjae …,2019-01-30 07:29:06.000
39,rt twitube_123 バーの氷の仕込み,2019-01-30 07:29:06.000
40,rt dennybritz jit compilation needed porting models languages ops supported tracing works smalli…,2019-01-30 07:29:06.000
41,rt _aihpos_sophia job applied called phone interview answered “ yo ’ ”,2019-01-30 07:29:06.000
42,really,2019-01-30 07:29:06.000
43,rt niallofficial eoghanmcdermo nicolacoughlan absolutely love derry girls ’ season 2,2019-01-30 07:29:06.000
44,stevedowuk euxtonvillafc bwfcacademy mancityacademy pnefcacademy emcloughlin4 manutd mancity brfctrust…,2019-01-30 07:29:02.000
45,rt fandeukie4ever omo ribbon brooch earrings chanel whole outfit actually chanel well surp…,2019-01-30 07:29:07.000
46,rt replaynga badboyblaq artwork tracklist drops february 8th ready,2019-01-30 07:29:07.000
47,nominate viviandsena india dtopbeautyworld tbworld2018 viviandsena01 100mosthandsomemen2018 ogıgıfıuffu,2019-01-30 07:29:07.000
48,rt astral_fns,2019-01-30 07:29:07.000
49,rt nicole22___ someone know ever suffered mental illness retweet yes like ’ alone bellle…,2019-01-30 07:29:07.000
50,rt etherealjiminie retweet goodluck clear skin fancam yoongi deserves 40m views bts_twt,2019-01-30 07:29:07.000
51,rt shintensin fuck cishet straight revising history trying erase existence people th…,2019-01-30 07:29:07.000
52,tolbert_ke thanks follow thee amp great tuesday interested review management check out…,2019-01-30 07:29:07.000
53,reply ’ posted onto wall sticky notes,2019-01-30 07:29:07.000
54,corny,2019-01-30 07:29:07.000
55,belief first step `` believe life worth living belief help create fact '' william james nimblequotes,2019-01-30 07:29:08.000
56,rt renoomokri many people think use phones fact phones use family members side but…,2019-01-30 07:29:08.000
57,piercespears mother,2019-01-30 07:29:08.000
58,2 people unfollowed // automatically checked,2019-01-30 07:29:08.000
59,rt mhtilwani 18 isroundermodi modi space buff encouraged isro accomplish 36 missions 145 satellites launches mission m…,2019-01-30 07:29:08.000
60,rt mani_runs pick number 1 10 chose 7. make day tuesday fellas,2019-01-30 07:29:08.000
61,rt yeodreams jay park ’ height ’ never mine respect,2019-01-30 07:29:09.000
62,`` '' cup really hentai beat,2019-01-30 07:29:09.000
63,rt aj_gideon careful words say keep soft sweet never know day day ones 'll eat,2019-01-30 07:29:09.000
64,people cant figure hate,2019-01-30 07:29:09.000
65,kiwifeenix jacobawohl btw come anything put 'ist end feel justified ar…,2019-01-30 07:29:09.000
66,stevedowuk euxtonvillafc bwfcacademy mancityacademy pnefcacademy emcloughlin4 manutd mancity brfctrust…,2019-01-30 07:29:02.000
67,rt skzelle see timeline must reply favourite pic felix,2019-01-30 07:29:10.000
68,rt myxphilippines hello loves ’ missed vj aidelacruz wrapped myxclusive interview westlifemusic s…,2019-01-30 07:29:10.000
69,rt beardownjohnson saint fans real talking trash akiem hicks like saints ’ play awful system fo…,2019-01-30 07:29:10.000
70,rt cliverhymester things need fully explained irish backstop taken precedence host things may be…,2019-01-30 07:29:10.000
71,czeegers cbmccartney one could possibly run anywhere near 85 trains,2019-01-30 07:29:11.000
72,rt aubreeclarkk girls automatically level summer hits become stronger powerful sun ’ completely…,2019-01-30 07:29:11.000
73,know colton compare virgin sexually assaulted,2019-01-30 07:29:11.000
74,badgerbeetle edits picture amazing,2019-01-30 07:29:11.000
75,cpm state secretary kodiyeri balakrishnan asked congress taking double standard sabarimala issue and…,2019-01-30 07:29:11.000
76,qhaishaaantsha did* oh english yes noah like `` baby think told would make your…,2019-01-30 07:29:11.000
77,rt aarongreenberg two free codes celebrate kingdomhearts iii launch xbox one rt win,2019-01-30 07:29:12.000
78,rt cavs congratulations cediosman selected world team mtndewicerisingstars game nbaallstar details…,2019-01-30 07:29:12.000
79,rt samdudu18 guys never take girl date know `` u come visit '' 've admitted a…,2019-01-30 07:29:12.000
80,rt sarahprice101 experience role really take active holistic management people living life limiting probl…,2019-01-30 07:29:12.000
81,rt boro 're delighted announced signing john obi mikel ️ welcome boro mikel_john_obi ️ full story ️,2019-01-30 07:29:12.000
82,rt 30secfight dude needs seek medical attention asap,2019-01-30 07:29:12.000
83,also sometimes sit faces men dip clits mouths *hangs head shame* 'll see mys…,2019-01-30 07:29:12.000
84,ray light madonna live 8,2019-01-30 07:29:12.000
85,rt indiewashere planet dying guys either use cork comes w wine finish bottle like adult instead adding m…,2019-01-30 07:29:13.000
86,rt thetraeyoung “ bright lights turned monster ”,2019-01-30 07:29:13.000
87,rt amalapuramdhfms superstar srimanthudu cuttouts ... maa tho antha easy kadhu .. antis ... 50mviewsforihsrimanthudu 50mviewsforsriman…,2019-01-30 07:29:13.000
88,rt newsweek democrats ’ approval rating hits highest mark 10 years nancy pelosi trusted donald trump,2019-01-30 07:29:13.000
89,rt agustxddaeng ’ recognize song first sang along idk think ’ cute ’ love…,2019-01-30 07:29:13.000
90,ohmygod crosshares one,2019-01-30 07:29:13.000
91,`` pg amp e ’ bankruptcy filing creates ‘ real mess ’ rival interests '' ivan penn via nyt,2019-01-30 07:29:13.000
92,managed tell mac happy birthday right midnight cause passed couch happy birthday u dork l…,2019-01-30 07:29:13.000
93,rt maximusabcuria proud ice first time swiss hockey history female-official married couple welcome th…,2019-01-30 07:29:14.000
94,rt education4libs democrats believe murdering babies moral building wall let sink,2019-01-30 07:29:14.000
95,rt dirtybeann hi ’ junie b. jones b stands bust thotiana,2019-01-30 07:29:14.000
96,rt trashyewest ’ said trash first came ’ forget,2019-01-30 07:29:14.000
97,rt justdoiteverett mother thought could embarrass front company today get away promise ’ la…,2019-01-30 07:29:14.000
98,rt new_thitipoom bd gift,2019-01-30 07:29:15.000
99,rt fact music make feel less pain,2019-01-30 07:29:15.000
100,rt cameron_kasky think people think live country ’ blatantly filthy history violence towa…,2019-01-30 07:29:15.000
101,silverpebble heffersbookshop love word noggin use good luck event,2019-01-30 07:29:15.000
